title	filenames	captions
Anthony Hunt (naval officer, died 1798)	Anthony-Hunt_(3).png	Likeness engraved by S. W. Reynolds after James Northcote, 1797
Anthony Hunt (naval officer, died 1798)	George_III_in_HMS_Southampton_reviewing_the_fleet_off_Plymouth,_18_August_1789_RMG_B6883.jpg	George III reviewing the fleet off Plymouth, 18 August 1789[lower-alpha 1]
Anthony Hunt (naval officer, died 1798)	The_SOUTH_PART_of_An_Accurate_Survey_and_Measurement_Of_PLYMOUTH_and_DOCK_TOWNS,_1784-86.jpg	Survey of Plymouth and Dock Towns, 1784–1786
Anthony Hunt (naval officer, died 1798)	Madras,_1746_RCIN_730073.jpg	Plan of Madras and Fort St. George, 1746
Anthony Hunt (naval officer, died 1798)	Adam_Callander_(1750-1817)_-_Shipping_off_Madras_-_BHC1890_-_Royal_Museums_Greenwich.jpg	Shipping off Madras, 1780
Anthony Hunt (naval officer, died 1798)	Company_rule_government_hse_fort_stgeorge2.jpg	The Government House, Fort St. George, 1798
Anthony Hunt (naval officer, died 1798)	HMS_Carnatic_off_Plymouth,_18_August_1789_RMG_B6883_(cropped).jpg	Carnatic off Plymouth, 18 August 1789 (detail)
Charleston, Illinois minor league baseball history	Coles_County,_IL,_USA_courthouse.JPG	(2015) Coles County courthouse. National Register of Historic Places. Charleston, Illinois
Diamond Grove, Wisconsin	USA_Wisconsin_location_map.svg	Diamond Grove is located in Wisconsin
Diamond Grove, Wisconsin	Usa_edcp_location_map.svg	Diamond Grove is located in the United States
Isle of Man variant British passport	Isle_of_Man_Passport_(Blue).png	The front cover of a current Manx biometric passport
Isle of Man variant British passport	IOMpassportbiodata.jpg	The biodata page of the Manx biometric passport
Isle of Man variant British passport	Isle_of_man_passport.jpg	Isle of Man passport prior to 2020
Kensington Books	Kensington-logo.png	Kensington Books
LGV Normandie	France_TGV.png	French TGV network, with the planned TGV line from Paris to Normandy in the northwest (green dots)
Magic Keyboard for iPad	IPad_with_Magic_Keyboard_(51013601847).jpg	iPad Air (4th generation) on a black Magic Keyboard
Markazi Jamia Masjid	Flag_of_Pakistan.svg	Flag of Pakistan
McLeansboro, Illinois minor league baseball history	Illinois_Route_142_and_242_in_McLeansboro.jpg	(2019) Illinois Route 142 and 242. McLeansboro, Illinois
Ottoman army in the 15th–19th centuries	Coat_of_arms_of_the_Ottoman_Empire_(1882–1922).svg	Coat of Arms of the Ottoman Empire
Ottoman army in the 15th–19th centuries	Battle_of_Vienna.Sipahis.jpg	Sipahis at the Battle of Vienna in 1683
Ottoman army in the 15th–19th centuries	Portyázó_törökök.jpg	Akinjis in Central Hungary, 16th century
Ottoman army in the 15th–19th centuries	Siege_of_Nándorfehérvár.jpg	Siege of Belgrade, 1456, Ottoman miniature.
Paul is Dead (comics)	PaulIsDeadDayLostMcCartney.jpg	The cover for Paul is Dead
Piracy off the coast of Venezuela	Rio_limon_venezuela231.jpg	Gasoline smuggling in the Limón River, Zulia state
Pokémon: The Movie 2000	Pokémon_The_Movie_2000.jpg	Japanese theatrical release poster
Saint Anthony, Wisconsin	USA_Wisconsin_location_map.svg	Saint Anthony, Wisconsin is located in Wisconsin
Saint Anthony, Wisconsin	Usa_edcp_location_map.svg	Saint Anthony, Wisconsin is located in the United States
