title	filenames	image id	captions
Anthony Hunt (naval officer, died 1798)	Anthony-Hunt_(3).png	0	like engrav reynold jame northcot 1797
Anthony Hunt (naval officer, died 1798)	George_III_in_HMS_Southampton_reviewing_the_fleet_off_Plymouth,_18_August_1789_RMG_B6883.jpg	1	georg iii review fleet plymouth 18 august 1789 lower alpha 1
Anthony Hunt (naval officer, died 1798)	The_SOUTH_PART_of_An_Accurate_Survey_and_Measurement_Of_PLYMOUTH_and_DOCK_TOWNS,_1784-86.jpg	2	survey plymouth dock town 1784 1786
Anthony Hunt (naval officer, died 1798)	Madras,_1746_RCIN_730073.jpg	3	plan madra fort st georg 1746
Anthony Hunt (naval officer, died 1798)	Adam_Callander_(1750-1817)_-_Shipping_off_Madras_-_BHC1890_-_Royal_Museums_Greenwich.jpg	4	ship madra 1780
Anthony Hunt (naval officer, died 1798)	Company_rule_government_hse_fort_stgeorge2.jpg	5	govern hous fort st georg 1798
Anthony Hunt (naval officer, died 1798)	HMS_Carnatic_off_Plymouth,_18_August_1789_RMG_B6883_(cropped).jpg	6	carnat plymouth 18 august 1789 detail
Charleston, Illinois minor league baseball history	Coles_County,_IL,_USA_courthouse.JPG	7	2015 cole counti courthous nation regist histor place charleston illinoi
Diamond Grove, Wisconsin	USA_Wisconsin_location_map.svg	8	diamond grove locat wisconsin
Diamond Grove, Wisconsin	Usa_edcp_location_map.svg	9	diamond grove locat unit state
Isle of Man variant British passport	Isle_of_Man_Passport_(Blue).png	10	front cover current manx biometr passport
Isle of Man variant British passport	IOMpassportbiodata.jpg	11	biodata page manx biometr passport
Isle of Man variant British passport	Isle_of_man_passport.jpg	12	isl man passport prior 2020
Kensington Books	Kensington-logo.png	13	kensington book
LGV Normandie	France_TGV.png	14	french tgv network plan tgv line pari normandi northwest green dot
Magic Keyboard for iPad	IPad_with_Magic_Keyboard_(51013601847).jpg	15	ipad air 4th gener black magic keyboard
Markazi Jamia Masjid	Flag_of_Pakistan.svg	16	flag pakistan
McLeansboro, Illinois minor league baseball history	Illinois_Route_142_and_242_in_McLeansboro.jpg	17	2019 illinoi rout 142 242 mcleansboro illinoi
Ottoman army in the 15th–19th centuries	Coat_of_arms_of_the_Ottoman_Empire_(1882–1922).svg	18	coat arm ottoman empir
Ottoman army in the 15th–19th centuries	Battle_of_Vienna.Sipahis.jpg	19	sipahi battl vienna 1683
Ottoman army in the 15th–19th centuries	Portyázó_törökök.jpg	20	akinji central hungari 16th centuri
Ottoman army in the 15th–19th centuries	Siege_of_Nándorfehérvár.jpg	21	sieg belgrad 1456 ottoman miniatur
Paul is Dead (comics)	PaulIsDeadDayLostMcCartney.jpg	22	cover paul dead
Piracy off the coast of Venezuela	Rio_limon_venezuela231.jpg	23	gasolin smuggl limón river zulia state
Pokémon: The Movie 2000	Pokémon_The_Movie_2000.jpg	24	japanes theatric releas poster
Saint Anthony, Wisconsin	USA_Wisconsin_location_map.svg	25	saint anthoni wisconsin locat wisconsin
Saint Anthony, Wisconsin	Usa_edcp_location_map.svg	26	saint anthoni wisconsin locat unit state
Salore, Indonesia	Indonesia_Papua_location_map.svg	27	salor locat papua provinc
Salore, Indonesia	Indonesia_location_map.svg	28	salor locat indonesia
Sergei Makarov (footballer, born 1996)	Sergei_Makarov_2022.jpg	29	makarov rotor volgograd 2022
The Express (newspaper)	Express_1_february_1896.JPG	30	front page express februari 1 1896
The Express (newspaper)	Express_xpressions_1_feb_1896.JPG	31	local news express februari 1 1896
139-153 Sussex Street, Sydney	OSM_central_Sydney.png	32	139 153 sussex street sydney locat sydney
139-153 Sussex Street, Sydney	Sussex_Street,_Sydney_historical_map_Hyatt_Hotel_precinct.jpg	33	histor map precinct prior hyatt regenc sydney develop
1905 German football championship Final	Berliner_TuFC_Union_92_04-05.jpg	34	team photo union 92 berlin
1920 Santo Domingo Census	USMC_Band,_1922,_Santo_Domingo,_Dominican_Republic_16_of_26_(6226960101).jpg	35	unit state marin ozama fortress
1927–28 Waratahs tour of the British Isles, France and Canada	AC_Johnny_Wallace.jpg	36	johnni wallac captain tour
1927–28 Waratahs tour of the British Isles, France and Canada	Cyril_towers_photo.jpg	37	cyril tower tour diarist
1944 Football League War Cup South Final	Chelsea_v_charlton_1944_programme.jpg	38	offici programm
As'ad Pasha al-Azem	Azem_Palace_Architecture.jpg	39	architectur azem palac built 1751 patronag as'ad pasha al azem
2015 Hong Kong heavy metal in drinking water incidents	Kai_Ching_Estate_201309.JPG	40	kai ching estat lead contamin drink water uncov
2015 Hong Kong heavy metal in drinking water incidents	Kai_Ching_Estate_Water_tube_201507.jpg	41	kai ching estat water plumb
2015 Hong Kong heavy metal in drinking water incidents	Kai_Ching_Estate_Temp_water_supply_20150718.jpg	42	kai ching estat temporari water suppli
Aurora, Illinois minor league baseball history	Casey_Stengel,_full-length_portrait,_wearing_sunglasses,_while_playing_outfield_for_the_Brooklyn_Dodgers_LCCN97518651.tif	43	1915 casey stengel play outfield brooklyn dodger
2019 San Miguel, Bulacan local elections	BULACAN.pdf	44	list certifi candid run seat san miguel
Basilicas Park	Location_map_Milan_Central.png	45	parco papa giovanni paolo ii locat milan
